Abbreviation,Full-Form,Type,Pronunciation
CAGIS,Cartography and Geographic Information Society,initialism,CAG IS
CALMIT,Center for Advanced Land Management Information Technologies (Univ. of Nebraska-Lincoln),acronym,
CALS,Connecticut Assn. of Land Surveyors; Computer-aided acquisition and logistic support; Computer Assisted Land Survey System (SPDK),acronym,
CALTRANS,California Dept. of Transportation,acronym,
CAM,Computer aided mapping,acronym,
CAMA,Computer-aided mass appraisal system (Montana),acronym,
CAMEO,Computer-Aided Management of Emergency Operations System (U.S.),acronym,
CAMFER,"Center for the Assessment & Monitoring of Forest & Environmental Resources (Univ. of Calif., Berkeley)",acronym,
CAN,Controlled Area Network,acronym,
CANRI,Community Access to Natural Resources Information,acronym,
CANSPACE,Canadian Space Geodesy Forum,acronym,
CAP,Cooperative Agreements Program (FGDC),acronym,
CAPCO,Capital Area Planning Council (Texas),acronym,
CAPDU,Canadian Assn. of Public Data Users,acronym,
CAR,"Curriculum, Accreditation and Registration Committee (ACSM); Central African Republic",acronym,
CARES,"Center for Agricultural, Resource, and Environmental Systems (Univ. of Missouri)",acronym,
CARL,Canadian Assn. of Research Libraries,acronym,
CARS,Computer-Assisted Reproduction; Center for Applications of Remote Sensing (Oklahoma State Univ.),acronym,
CASA,"Centre for Advanced Spatial Analysis (Univ. College, London)",acronym,
CASE,Computer-Aided Software Engineering,acronym,
CASI,Compact Airborne Spectrographic Imager,acronym,
CASS,Coding and Accuracy Support System (USPS),acronym,
CAST,Center for Advanced and Spatial Technologies (Univ. of Arkansas),acronym,
CAT,Computer Assisted Thermography,acronym,
CATS,Consequences Assessment Tool Set (FEMA),acronym,
CAVA,"Cartographic and Audio-Visual Archives Div. = Div. des archives cartographiques et audio-visuelles (DACA), National Archives of Canada",acronym,
CAZRI,Central Arid Zone Research Institute,acronym,
CB,Column builder,acronym,
CBD,Central business district,initialism,
CBEP,Community-Based Environmental Protection (USEPA program),initialism,
CBEPS,Canadian Board of Examiners for Professional Surveyors,initialism,
CBET,Concrete block enclosed elevator,initialism,C BET
CBF,Cartographic boundary file,initialism,
CBI,China Burma India Theatre of Operations (WW II),initialism,
CBL,Centraal Bureau Luchtkartering (Suriname); Calibration (or calibrated) base line,initialism,
CBM,Coalbed Methane Map (Wyoming State Geological Survey),initialism,
CBN,Cooperative Base Network,initialism,
CBP,Chesapeake Bay Project,initialism,
CBS,Community Base Station,initialism,
CBWE,Corn Blight Watch Experiment,initialism,
CC,Cartographic Catalog,initialism,
CCA,Canadian Cartographic Assn.,initialism,
CCAFS,Cape Canaveral Air Force Station (Florida),initialism,C CAFS
CCAP,Competative Cooperative Agreements Program (U.S.),initialism,C CAP
CCBCCM,Canadian Committee for the Bibliographic Control of Cartographic Materials,initialism,
CCC,Canadian Committee on Cataloging; Cataloging and Classification Committee (MAGERT),initialism,
CCCELS,California Council of Civil Engineers and Land Surveyors,initialism,
CCD,Census county division; Computer Center Div. (USGS); Charged couple device; Charged-coupled device; Charge-coupled device,initialism,
CCDM,Core Cadastral Domain Model,initialism,
CCELC,Canada Committee on Ecological Land Classification,initialism,
CCGE,Canadian Council on Geographic Education,initialism,
CCGM,Center for Computing Graphics (Delft Univ. of Technology),initialism,
CCID,Chain component ID,initialism,
CCIG,Centre canadien d'information sur la geoscience,initialism,
CCISA,Congress of Cartographic Information Specialist Associations,initialism,
CCITT,International Telegraph and Telephone Consultative Committee,initialism,
CCK,Centrale Catalogus Kartografie (National Library of the Netherlands),initialism,
CCLS,Canadian Council of Land Surveyors,initialism,
CCM,Canada Centre for Mapping; Compressed County Mosaic (USDA),initialism,
CCNS4,"Computer Controlled Navigation System (E. Coyote Enterprises, Inc.)",initialism,
CCPR,California Center for Population Research,initialism,
CCPS,Central Colorado Professional Surveyors,initialism,
CCRS,Canada Centre for Remote Sensing,initialism,
CCS,Census consolidated subdivision (Canada),initialism,
CCT,Computer Compatible Tape; Centro de Ciencia Tropical,initialism,
CD,Compact disc; Conservation Div. (USGS); Committee Draft (ISO),initialism,
CD-CINC,CD-ROM Consistent Interface Committee (U.S.),initialism,CD - CINC
CD-R,Compact disk-recordable,initialism,CD - R 
CD-ROM,Compact disk-read only memory,initialism,CD - ROM
CD-W,Compact disk-- re-writable,initialism,CD - W
CDA,Colorado Dept. of Agriculture,initialism,
CDC,California Dept. of Conservation; Control Data Corporation,initialism,
CDED,Canadian Digital Elevation Data,initialism,
CDF,Cumulative distribution function; California Dept. of Forestry (and Fire Protection),initialism,
CDFG,California Dept. of Fish and Game,initialism,
CDFS,Cloud Depiction and Forecast System,initialism,
CDH,Communications and data handling,initialism,
CDIS,Coordinated Design and Information System,initialism,
CDL,Cropland data layers (USDA NASS),initialism,
CDMG,California Div. of Mines and Geology,initialism,
CDN,"Coordinates, definitions and notations",initialism,
CDOT,Colorado Dept. of Transportation,initialism,C DOT
CDOW,Colorado Division of Wildlife,initialism,C DOW
CDOWG,CD-ROM Data Origination Working Group (U.S.),initialism,C DOWG
CDP,Cartographer Development Program; Census designated place; Colorado Division of Planning,initialism,
CDRS,Collaborative Digital Reference Service,initialism,
CDS,Catalogue of Data Sources,initialism,
CDT,Computer display terminal; Central Daylight Time; Constrained Delaunay triangulation,initialism,
CDTED,Compressed digital terrain elevation data,initialism,CD TED
CDV,Cartographic data visualizer,initialism,
CDWR,California Dept. of Water Resources,initialism,
CDi,Compact Disk interactive,initialism,
CE,Corps of Engineers,initialism,
CEAL,Centro Editor de America Latina,acronym,CEAL
CEAO,County Engineers Association of Ohio,initialism,
CEBAF,Continuous Electron Beam Accelerator Facility,initialism,
CECO,Consulting Engineers Council of Ohio,initialism,
CECSVB,Comit pour l'Etablissement de la Carte des Sols et de la Vegetation de la Belgique,initialism,
CECW,Consulting Engineers Council of Washington,initialism,
CEDAC,Comprehensive Economic Data Atlas of China,initialism,CE DAC
CEDARE,Centre for Environment and Development for the Arab Region and Europe,initialism,CE DARE
CEDD,Committee on the Exchange of Digital Data,acronym,CEDD
CEE,Comite Estatal de Estadisticas (Cuba),initialism,
CEGET,Centre d'Etudes de Geographie Tropical (Bordeaux),initialism,
CEGIS,Center of Excellence for Geospatial Information Science (USGS),initialism,
CELSOC,Consulting Engineers and Land Surveyors of California,acronym,CELSOC
CEMA,Consumer Electronics Manufacturers Assn.,acronym,
CEMAR,Centro de Estudos do Mar,acronym,
CEN,Comite europeen de normalization electronique,acronym,
CENREN,Centro de Recursos Naturales (El Salvador),initialism,CEN REN
CENTA,Centro Nacional de Tecnologia Agropecuaria (El Salvador),acronym,
CENTAUR,Civil Engineering Technologies for Automatic Roadmaking (DSNP),acronym,
CEO,European Centre for Earth Observation,initialism,
CEONet,Canadian Earth Observation Network,initialism,CEO net
CEP,Celestial Ephemeris Pole,initialism,
CERCG,Centre d'Etudes et de Realisations Cartographiques Geographiques (France),initialism,
CERCLIS,"Comprehensive Environmental Response, Compensation, and Liability Information System (US EPA)",acronym,
CERCO,Comite Europeen de Responsibles de la Cartographie Officielle,acronym,
CERD,Catalog of Environmental Resource Data,acronym,
CERES,California Environmental Resource Evaluation System,acronym,
CERR,Centre d'Ecologie des Ressources Renouvelables (France),acronym,
CES,Committee on Earth Sciences,initialism,
CET,Commission on Education and Training (IGA),initialism,
CETENAL,Comision de Estudios del Territorio Nacional (Mexico),initialism,
CEU,Continuing education unit,initialism,
CFC,Comite francais de cartographie,initialism,
CFCC,Census Feature Class Code,initialism,
CFF,Cartographic Feature File,initialism,
CFUA,Canadian Fire Underwriters' Association,initialism,
CGA,Color Graphics Adaptor,initialism,
CGC,Commission geologique du Canada,initialism,
CGDB,Central Geographic Data Base,initialism,
CGDI,"Canadian Geomatics Digital Initiative

; Canadian Geospatial Data Infrastructure",initialism,
CGE,Comision Geografico-Exploradora (Mexico),initialism,
CGI,Computer Graphics Interface; Common gateway interface; Center for Geographic Information,initialism,
CGIC,Canadian Geoscience Information Centre,initialism,
CGIS,Center for GIS (Qatar),initialism,
CGMW,Commission for the Geological Map of the World,initialism,
CGNHS,Connecticut Geological and Natural History Survey,initialism,
CGNS,Canadian Geographical Names Service,initialism,
CGPM,Conference General des Poids et Mesures,initialism,
CGPS,Continuous global positioning system,initialism,
CGRG,Canadian Geomorphology Research Group,initialism,
CGS,California Geological Survey; Civil GPS Service; Coast and Geodetic Survey (U.S.); Colorado Geological Survey,initialism,
CGSB,Canadian General Standards Board,initialism,
CGSB-COG,Canadian General Standards Board Committee on Geomatics,initialism,
CGSIC,Civil GPS Service Interface Committee,initialism,
CGSICO,Civil GPS Service Interface Committee,initialism, 
CGTP,Cartographic and Geospatial Technology Programs,initialism,
CGU,Canadian Geophysical Union,initialism,
CGW,Computer Graphics World (journal),initialism,
CH; Ch.,Chief Hydrologist; Church; Chapel,initialism,CH ; Ch.
CHA,Canadian Hydrographic Association,initialism,
CHEEC,Center for the Health Effects of Environmental Contamination (Univ. of Iowa),acronym,
CHEST,Combined Higher Education Software Team (UK),acronym,
CHGIS,China Historical Geographic Information System (Harvard University),initialism,CH GIS
CHIA,Cumulative Hydrologic Impact Assessment,acronym,CHIA
CHNM,Marine channel,initialism,
CHS,Canadian Hydrographic Service,initialism,
CI,Compass and inclinometer; Coal Investigations Map (USGS),initialism,
CIA,Central Intelligence Agency (U.S.),initialism,
CIACER,Centro de Investigacion y Aplicacion de Sensores Remotos (Bolivia),initialism,
CIAF,Centro de Investigaciones en Percepcion Remota,initialism,
CIAS,CD-ROM Index Architecture Specification Working Group (U.S.),initialism,
CIB,Controlled image base,initialism,
CIBESA,Cartografica Iberica S.A.,acronym,
CICAEDAS,"Committee Investigating Cartographic Entity, Definitions, and Standards",initialism,
CICLOPS,Cassini Imaging Central Laboratory for Operations,initialism,CI CLOPS 
CID,Community Information Database (Agriculture and Agri-Food Canada),acronym,
CIDAMM,Centro de Informacion y Documentacion del Area Metropolitana de Madrid,acronym,
CIE,Iompair Eireann Coras; Classified image editor,acronym,
CIESIN,Consortium for International Earth Science Information Network,initialism,
CIG,Canadian Inst. of Geomatics; Climate Interest Group; Centro de Investigaciones Geotecnicas (El Salvador),initialism,
CIGF,"Centre d'Information Geographique et Fonci`ere Ministre de l'Energie et des Ressources, Quebec)",initialism,
CIGNET,Cooperative International GPS Network,initialism,CIG NET
CIKM,Conference on Information Knowledge Management,initialism,
CIM,Collection insertion map; Council on Information Management (Virginia),initialism,
CIMIS,California Irrigation Management Information System,acronym,CIMIS
CINDI,Center for Integration of Natural Disaster Information (USGS),acronym,CINDI
CIO,Central Imagery Office (U.S.),initialism,
CIP,Contour Interpolation Program; Canadian Institute of Planners,initialism,
CIR,Color infrared,initialism,
CIRSS,California Integrated Remote Sensing System,initialism,
CIS,Canadian Inst. of Surveying; Color Imaging Systems (Barneyscan Corp.),initialism,
CISD,Cook Islands Dept. of Survey,initialism,
CISIG,Conservational International GIS,initialism,
CISM,Canadian Inst. of Surveying and Mapping,initialism,
CIST,Centre d'information sur les sciences de la Terre (Canada),initialism,
CITYG,City Graphic,initialism,
CIU,"Central Interpretation Unit (Royal Air Force, Great Britain)",initialism,
CK-PL,Check plotter,initialism,CK - PL
CLA,Canadian Library Association,initialism,
CLD,Center line data,initialism,
CLDB,Common Land Data Base,initialism,
CLDS,Canada Land Data System(s),initialism,
CLI,Canada Land Inventory,initialism,
CLICK,Center for LiDAR Information Coordination (USGS),acronym,CLICK
CLID,Class identifier,acronym,
CLIRSEN,Remote Sensing Center (Ecuador),acronym,
CLL,Corrected line length,initialism,
CLOMA,Confidential letters of map amendment,acronym,
CLS,Canada Lands Surveyor,initialism,
CLSA,California Land Surveyors Assn.,initialism,
CLSR,Canada Lands Surveys Records,initialism,
CLU,Common land units,initialism,
CLUMP,Canada Land Use Monitoring Program,acronym,
CM,Cartographic material; Configuration management,initialism,
CMA,Census Metropolitan Area (Statistics Canada); Central Mapping Agency (New South Wales),initialism,
CMAP,Chicago Metropolitan Agency for Planning,initialism,C MAP
CMAS,Circular Mean Accuracy Standard,acronym,C MAS
CMCC,California Mapping Coordinating Committee,initialism,CMCC
CMD,Current meter digitizer; Command,initialism,CMD
CMEDS,Comprehensive Mapping and Engineering Data System (LES),initialism,C MEDS
CMI,Corvallis Microtechnology Inc.,initialism,CMI
CMIB,Controlled multispectral image base,initialism,C MIB
CMIS,Conical-scanning Microwave Imager/Sounder,initialism,C MIS
CMM,Coalbed Methane Map (Wyoming State Geological Survey),initialism,CMM
CMO,Canada Map Office,initialism,CMO
CMOTS,Cartographic Material Order and Tracking System (USGS),initialism,C MOTS
CMP,Coastal Mapping Program; Camp,initialism,CMP
CMS,California Map Society; Cavity Monitoring System (Optech); Clay Minerals Society,initialism,CMS
CMSA,Consolidated metropolitan statistical area,initialism,CMSA
CMSDU,Commission on Map Use and Spatial Data Use (ICA),initialism,CMSDU
CMSM,Committee on Marine Surveying and Mapping,initialism,
CMT,Corvallis Microtechnology Inc.,initialism,
CMYK,Cyan-magenta-yellow-black,initialism,
CNA,Comiss~ao Nacional do Ambiente (Portugal),initialism,
CNES,Centre national d'etudes spatiales (France),initialism,
CNEXO,Centre National pour l'Exploitation des Oceans (France),initialism,
CNFL,Confluence,initialism,
CNI,Coalition for Networked Information,initialism,
